<sNo, day, restaurantId, UserId, R1, R2, R3>
Number of Hotel =380
Number of User = 642
Number of Days = 164
Number of Ratings = 1000
1, 1, 371, 624, 2, 1, 2
2, 2, 376, 37, 3, 3, 3
3, 3, 379, 632, 0, 1, 0
4, 4, 379, 574, 3, 1, 1
5, 5, 379, 630, 0, 0, 0
6, 6, 379, 294, 1, 1, 1
7, 7, 379, 629, 4, 1, 1
8, 7, 379, 641, 2, 1, 1
9, 7, 379, 642, 2, 1, 1
10, 8, 34, 184, 3, 3, 3
11, 9, 371, 623, 1, 1, 1
12, 10, 378, 586, 2, 1, 1
13, 11, 379, 460, 3, 1, 1
14, 12, 379, 448, 3, 0, 1
15, 13, 379, 640, 4, 1, 1
16, 14, 379, 613, 2, 0, 1
17, 15, 379, 639, 2, 0, 0
18, 16, 34, 183, 1, 1, 1
19, 17, 379, 625, 2, 1, 0
20, 17, 379, 638, 1, 1, 0
21, 18, 379, 141, 1, 0, 1
22, 18, 379, 37, 3, 0, 1
23, 19, 379, 153, 3, 1, 1
24, 20, 379, 24, 1, 1, 1
25, 21, 379, 637, 2, 2, 1
26, 22, 379, 7, 0, 0, 1
27, 23, 379, 240, 1, 1, 1
28, 24, 34, 182, 2, 1, 2
29, 25, 379, 487, 1, 1, 1
30, 26, 379, 442, 1, 0, 1
31, 27, 379, 628, 1, 0, 1
32, 28, 376, 634, 2, 3, 3
33, 29, 34, 181, 1, 1, 1
34, 30, 369, 622, 3, 2, 3
35, 31, 376, 633, 0, 1, 1
36, 32, 372, 248, 1, 1, 1
37, 33, 378, 620, 2, 1, 1
38, 34, 379, 636, 1, 0, 1
39, 35, 127, 451, 4, 3, 3
40, 36, 34, 3, 1, 1, 0
41, 37, 379, 203, 1, 0, 1
42, 38, 34, 180, 1, 1, 1
43, 39, 374, 627, 3, 3, 2
44, 40, 372, 626, 1, 1, 0
45, 40, 372, 290, 2, 1, 1
46, 41, 34, 179, 0, 0, 0
47, 42, 34, 178, 1, 1, 1
48, 43, 374, 202, 3, 3, 3
49, 44, 4, 17, 2, 1, 1
50, 44, 34, 177, 1, 1, 0
51, 45, 373, 279, 1, 1, 1
52, 46, 127, 450, 2, 1, 1
53, 47, 379, 253, 1, 0, 0
54, 48, 379, 450, 2, 0, 0
55, 49, 8, 37, 2, 2, 2
56, 50, 9, 41, 2, 2, 2
57, 51, 13, 67, 0, 1, 1
58, 51, 14, 37, 2, 0, 1
59, 51, 16, 70, 2, 1, 1
60, 52, 18, 77, 2, 2, 1
61, 53, 10, 34, 2, 1, 1
62, 53, 20, 91, 3, 1, 2
63, 53, 22, 13, 3, 2, 2
64, 53, 377, 61, 2, 1, 1
65, 54, 10, 43, 0, 0, 2
66, 54, 23, 103, 1, 2, 2
67, 54, 25, 94, 2, 2, 1
68, 54, 379, 545, 2, 1, 1
69, 55, 26, 148, 2, 2, 2
70, 55, 27, 30, 1, 1, 1
71, 56, 26, 147, 3, 4, 4
72, 56, 28, 94, 2, 2, 2
73, 56, 29, 151, 1, 2, 2
74, 57, 13, 11, 0, 1, 1
75, 57, 15, 68, 1, 0, 0
76, 57, 30, 37, 3, 2, 1
77, 58, 7, 24, 1, 1, 1
78, 58, 28, 66, 2, 3, 3
79, 58, 32, 169, 2, 2, 2
80, 58, 379, 191, 1, 0, 1
81, 59, 13, 66, 0, 0, 4
82, 59, 30, 160, 1, 2, 1
83, 59, 33, 172, 0, 1, 0
84, 60, 31, 167, 2, 2, 2
85, 60, 34, 176, 2, 2, 2
86, 60, 35, 186, 2, 0, 1
87, 61, 37, 250, 3, 4, 4
88, 61, 379, 207, 1, 0, 0
89, 62, 20, 90, 2, 0, 1
90, 62, 26, 146, 3, 3, 3
91, 62, 41, 28, 2, 1, 2
92, 63, 2, 2, 2, 1, 2
93, 63, 20, 88, 4, 1, 2
94, 63, 20, 89, 3, 1, 2
95, 63, 28, 150, 1, 2, 2
96, 63, 43, 270, 2, 1, 2
97, 63, 44, 271, 4, 1, 1
98, 64, 46, 272, 1, 1, 1
99, 64, 47, 272, 1, 1, 1
100, 64, 48, 277, 2, 2, 1
101, 64, 49, 94, 1, 0, 1
102, 65, 3, 11, 1, 1, 1
103, 65, 47, 165, 2, 1, 2
104, 65, 51, 272, 1, 1, 1
105, 65, 52, 272, 1, 1, 1
106, 65, 54, 59, 1, 3, 2
107, 65, 375, 11, 2, 0, 1
108, 66, 51, 281, 1, 1, 1
109, 66, 53, 201, 2, 2, 1
110, 66, 54, 281, 1, 2, 1
111, 66, 55, 284, 0, 2, 2
112, 66, 57, 312, 1, 1, 1
113, 66, 58, 118, 1, 1, 1
114, 67, 22, 66, 4, 4, 3
115, 67, 59, 315, 1, 1, 1
116, 67, 60, 147, 3, 1, 2
117, 68, 25, 129, 1, 3, 1
118, 68, 25, 130, 1, 1, 0
119, 69, 26, 21, 2, 3, 1
120, 69, 38, 108, 0, 1, 1
121, 69, 64, 2, 3, 1, 2
122, 69, 65, 321, 2, 1, 2
123, 69, 223, 138, 4, 2, 1
124, 70, 12, 52, 3, 4, 4
125, 70, 61, 317, 3, 1, 1
126, 70, 66, 322, 4, 1, 4
127, 70, 270, 198, 1, 1, 2
128, 71, 67, 1, 2, 1, 2
129, 71, 68, 326, 1, 1, 2
130, 72, 9, 40, 1, 2, 1
131, 72, 69, 55, 3, 1, 2
132, 73, 26, 145, 1, 2, 3
133, 74, 72, 97, 1, 1, 1
134, 75, 9, 39, 2, 1, 1
135, 75, 36, 103, 4, 4, 4
136, 75, 73, 109, 2, 1, 2
137, 75, 74, 256, 2, 1, 1
138, 75, 75, 110, 2, 2, 2
139, 76, 17, 76, 1, 2, 2
140, 76, 42, 268, 4, 3, 2
141, 76, 77, 76, 2, 1, 2
142, 77, 11, 48, 3, 4, 3
143, 77, 45, 21, 3, 0, 1
144, 77, 79, 349, 4, 4, 2
145, 77, 80, 94, 1, 1, 1
146, 77, 81, 37, 2, 2, 2
147, 77, 82, 37, 2, 2, 2
148, 78, 25, 128, 2, 2, 2
149, 78, 42, 267, 4, 2, 3
150, 78, 56, 311, 4, 4, 4
151, 78, 83, 107, 1, 1, 1
152, 78, 86, 183, 0, 2, 2
153, 78, 88, 13, 1, 2, 1
154, 78, 89, 373, 2, 2, 2
155, 79, 17, 75, 2, 2, 2
156, 79, 36, 244, 4, 4, 4
157, 79, 90, 37, 2, 0, 2
158, 79, 91, 37, 2, 2, 2
159, 79, 94, 378, 4, 3, 4
160, 79, 95, 363, 2, 1, 1
161, 79, 96, 379, 4, 3, 3
162, 80, 36, 242, 4, 3, 4
163, 80, 36, 243, 2, 2, 3
164, 80, 53, 283, 2, 1, 1
165, 80, 97, 380, 2, 1, 1
166, 80, 98, 397, 4, 2, 3
167, 81, 6, 13, 2, 1, 2
168, 81, 22, 16, 3, 2, 2
169, 81, 36, 241, 2, 2, 3
170, 81, 39, 254, 2, 1, 1
171, 81, 71, 333, 3, 1, 1
172, 81, 99, 398, 4, 4, 4
173, 81, 100, 94, 2, 1, 1
174, 82, 42, 266, 4, 4, 3
175, 82, 92, 375, 4, 4, 1
176, 83, 13, 65, 1, 1, 1
177, 83, 103, 401, 3, 2, 3
178, 83, 104, 53, 1, 1, 1
179, 83, 104, 343, 3, 2, 2
180, 83, 379, 635, 0, 1, 1
181, 83, 379, 351, 3, 1, 1
182, 84, 36, 240, 1, 1, 2
183, 84, 56, 310, 4, 4, 3
184, 84, 84, 369, 1, 2, 1
185, 84, 105, 148, 2, 3, 1
186, 84, 376, 565, 1, 1, 1
187, 85, 4, 16, 1, 2, 1
188, 85, 20, 87, 2, 0, 3
189, 85, 22, 101, 3, 4, 4
190, 85, 24, 107, 2, 1, 1
191, 85, 36, 238, 2, 3, 4
192, 85, 36, 239, 2, 3, 4
193, 85, 376, 631, 4, 2, 4
194, 86, 28, 16, 1, 2, 1
195, 86, 84, 355, 1, 1, 2
196, 86, 98, 254, 2, 2, 1
197, 86, 102, 400, 4, 3, 3
198, 86, 110, 416, 2, 1, 2
199, 87, 3, 10, 1, 1, 1
200, 87, 36, 237, 3, 3, 4
201, 87, 108, 13, 2, 1, 2
